Number;Input;Output;KotF_now;Frequency;;
278;161,9413592;1499,534005;7,873244765;277;;
279;76,68585041;1005,655775;7,873244765;278;;
280;-20,70382893;309,1835947;7,873244765;279;;
281;-110;-425,4256364;7,873244765;280;;
282;-176,6198445;-1057,183207;7,873244765;281;;
283;-213,0882954;-1492,212715;7,873244765;282;;
284;-218,5420084;-1690,052765;7,873244765;283;;
285;-197,0565873;-1656,94067;7,873244765;284;;
286;-155,5634919;-1431,965738;7,873244765;285;;
287;-101,9251277;-1071,447574;7,873244765;286;;
288;-43,48461488;-635,2773346;7,873244765;287;;
289;13,8139143;-177,1233152;7,873244765;288;;
290;65,7889743;261,1130252;7,873244765;289;;
291;110;651,1808372;7,873244765;290;;
292;145,4886104;977,7434158;7,873244765;291;;
293;172,4125606;1236,116074;7,873244765;292;;
294;191,6670384;1429,394446;7,873244765;293;;
295;204,5508269;1565,616984;7,873244765;294;;
296;212,5036818;1655,334246;7,873244765;295;;
297;216,9191282;1709,738385;7,873244765;296;;
298;219,0236322;1739,355595;7,873244765;297;;
299;219,8070226;1753,218115;7,873244765;298;;
300;219,9879373;1758,396449;7,873244765;299;;
Input Max;Input Min;Output Max;Output Min;Inp Amplitude;Out Amplitude;KotF
220.0;-220.0;1759.1919022682334;-1705.035794342128;220.0;1732.1138483051807;7.873244765023548
